mode,atlas,fc_version,fold_or_site,auc,accuracy,balanced_accuracy,f1,precision,recall,specificity,threshold,train_time_sec,infer_ms_per_sample,epochs_run,n_params,n_eval
pooled_cv,AAL,v1,1,0.6962772785622593,0.6214689265536724,0.6265083440308087,0.6127167630057804,0.6794871794871795,0.5578947368421052,0.6951219512195121,0.2822446823120117,500.6211154460907,3.1900136484264654,45,32258,177
pooled_cv,AAL,v1,2,0.721181001283697,0.6610169491525424,0.6558408215661105,0.6969696969696969,0.6699029126213593,0.7263157894736842,0.5853658536585366,0.492882639169693,240.8698172569275,3.3725533781752075,22,32258,177
pooled_cv,AAL,v1,3,0.6766367137355584,0.6384180790960452,0.6439666238767651,0.627906976744186,0.7012987012987013,0.5684210526315789,0.7195121951219512,0.7240816950798035,334.4447395801544,2.962635061835165,30,32258,177
pooled_cv,AAL,v1,4,0.6597222222222222,0.6214689265536724,0.6221064814814815,0.6378378378378379,0.6629213483146067,0.6145833333333334,0.6296296296296297,0.7839447855949402,378.92994570732117,2.9690831394518837,34,32258,177
pooled_cv,AAL,v1,5,0.7287849252761534,0.6647727272727273,0.6603638726445744,0.6974358974358974,0.68,0.7157894736842105,0.6049382716049383,0.5971799492835999,268.73849749565125,2.972077239643444,24,32258,176
loso,AAL,v1,CMU,0.6666666666666667,0.6,0.5833333333333333,0.5,0.5,0.5,0.6666666666666666,0.5671466588973999,250.51566195487976,1.906442642211914,21,32258,5
loso,AAL,v1,Caltech,0.6783625730994152,0.7027027027027027,0.7002923976608187,0.6666666666666666,0.7333333333333333,0.6111111111111112,0.7894736842105263,0.6433863639831543,526.4834995269775,3.1455723015037744,44,32258,37
loso,AAL,v1,KKI,0.7438271604938271,0.6666666666666666,0.7361111111111112,0.6976744186046512,0.9375,0.5555555555555556,0.9166666666666666,0.3460441827774048,322.46075916290283,2.737295933258839,27,32258,39
loso,AAL,v1,Leuven,0.6568627450980393,0.639344262295082,0.619281045751634,0.7105263157894737,0.6428571428571429,0.7941176470588235,0.4444444444444444,0.4838011562824249,296.86789631843567,3.6968090495125194,25,32258,61
loso,AAL,v1,MaxMun,0.6319444444444445,0.5952380952380952,0.5694444444444444,0.679245283018868,0.6206896551724138,0.75,0.3888888888888889,0.48184406757354736,339.14663195610046,3.170013427734375,29,32258,42
loso,AAL,v1,NYU,0.7219737209952474,0.631578947368421,0.6453732177802627,0.631578947368421,0.7397260273972602,0.5510204081632653,0.7397260273972602,0.42639458179473877,256.43285512924194,3.1887787824485736,23,32258,171
loso,AAL,v1,OHSU,0.5303030303030303,0.4782608695652174,0.46590909090909094,0.25000000000000006,0.4,0.18181818181818182,0.75,0.4357376992702484,494.5895183086395,2.720127934994905,41,32258,23
loso,AAL,v1,Olin,0.8311688311688312,0.72,0.7207792207792207,0.6956521739130435,0.6666666666666666,0.7272727272727273,0.7142857142857143,0.5518128871917725,277.7156207561493,3.4079456329345703,23,32258,25
loso,AAL,v1,Pitt,0.766798418972332,0.6666666666666666,0.6620553359683794,0.7272727272727273,0.625,0.8695652173913043,0.45454545454545453,0.45792776346206665,257.1147150993347,3.0312803056504993,22,32258,45
loso,AAL,v1,SBL,0.7619047619047619,0.6538461538461539,0.6607142857142857,0.6666666666666665,0.6,0.75,0.5714285714285714,0.5465103983879089,252.41465520858765,2.9039382934570312,21,32258,26
loso,AAL,v1,SDSU,0.761904761904762,0.7272727272727273,0.7142857142857142,0.7804878048780488,0.8,0.7619047619047619,0.6666666666666666,0.8070709109306335,495.1705846786499,2.8160051866011186,42,32258,33
loso,AAL,v1,Stanford,0.7151702786377709,0.5,0.5170278637770898,0.3076923076923077,0.5714285714285714,0.21052631578947367,0.8235294117647058,0.44325876235961914,347.8519802093506,3.3805370330810547,29,32258,36
loso,AAL,v1,Trinity,0.6666666666666666,0.6590909090909091,0.65527950310559,0.693877551020408,0.6538461538461539,0.7391304347826086,0.5714285714285714,0.8616138696670532,552.3526756763458,2.8672218322753906,47,32258,44
loso,AAL,v1,UCLA,0.7934472934472934,0.7466666666666667,0.7435897435897436,0.7710843373493976,0.7272727272727273,0.8205128205128205,0.6666666666666666,0.4023367762565613,305.9782130718231,3.146543502807617,26,32258,75
loso,AAL,v1,UM,0.7125,0.6371681415929203,0.6546474358974359,0.6306306306306305,0.7608695652173914,0.5384615384615384,0.7708333333333334,0.55601567029953,269.1679036617279,2.995275818141161,23,32258,113
loso,AAL,v1,USM,0.7711670480549199,0.6885245901639344,0.715675057208238,0.6666666666666667,0.5588235294117647,0.8260869565217391,0.6052631578947368,0.40339651703834534,269.1459345817566,3.6603974514320248,23,32258,61
loso,AAL,v1,Yale,0.8041958041958042,0.75,0.7587412587412588,0.7391304347826088,0.85,0.6538461538461539,0.8636363636363636,0.9153357148170471,607.4792034626007,3.0179967482884726,51,32258,48
within_site,AAL,v1,Caltech,0.7875,0.5714285714285714,0.5916666666666666,0.5133333333333333,0.5,0.5833333333333333,0.6,0.5831079602241516,12.391253471374512,2.1311725888933455,27.2,32258.0,7.4
within_site,AAL,v1,KKI,0.7866666666666667,0.5714285714285714,0.61,0.5787878787878787,0.6095238095238095,0.5866666666666667,0.6333333333333333,0.6514952898025512,14.598436069488525,2.2352533681052074,31.0,32258.0,7.8
within_site,AAL,v1,Leuven,0.7492063492063492,0.6538461538461539,0.6823809523809524,0.5783916083916083,0.8666666666666668,0.47142857142857136,0.8933333333333333,0.6693672180175781,27.28277244567871,3.037769977863018,35.8,32258.0,12.2
within_site,AAL,v1,MaxMun,0.7383333333333333,0.5944444444444444,0.6166666666666666,0.5476190476190476,0.7333333333333333,0.45,0.7833333333333333,0.5460034668445587,14.306639051437378,2.7167883184221053,27.2,32258.0,8.4
