mode,atlas,fc_version,fold_or_site,auc,accuracy,balanced_accuracy,f1,precision,recall,specificity,threshold,train_time_sec,infer_ms_per_sample,epochs_run,n_params,n_eval,_src
within_site,AAL,v1,Caltech,0.7875,0.5714285714285714,0.5916666666666666,0.5133333333333333,0.5,0.5833333333333333,0.6,0.5831079602241516,12.391253471374512,2.131172588893345,27.2,32258.0,7.4,run_20260620_073443
within_site,AAL,v1,KKI,0.7866666666666667,0.5714285714285714,0.61,0.5787878787878787,0.6095238095238095,0.5866666666666667,0.6333333333333333,0.6514952898025512,14.598436069488525,2.235253368105208,31.0,32258.0,7.8,run_20260620_073443
within_site,AAL,v1,Leuven,0.7492063492063492,0.6538461538461539,0.6823809523809524,0.5783916083916083,0.8666666666666668,0.4714285714285714,0.8933333333333333,0.6693672180175781,27.28277244567871,3.037769977863018,35.8,32258.0,12.2,run_20260620_073443
within_site,AAL,v1,MaxMun,0.7383333333333333,0.5944444444444444,0.6166666666666666,0.5476190476190476,0.7333333333333333,0.45,0.7833333333333333,0.5460034668445587,14.306639051437378,2.7167883184221053,27.2,32258.0,8.4,run_20260620_073443
within_site,AAL,v1,NYU,0.725513784461153,0.6315966386554622,0.6342230576441102,0.6561849775472066,0.6971202516094156,0.6236842105263158,0.6447619047619048,0.5046067178249359,55.91866774559021,3.485739651848289,25.4,32258.0,34.2,run_20260620_073443
within_site,AAL,v1,OHSU,0.6,0.39,0.36666666666666653,0.0,0.0,0.0,0.7333333333333333,0.6291369199752808,8.44126100540161,1.753389835357666,32.2,32258.0,4.6,run_20260620_073443
within_site,AAL,v1,Olin,0.9,0.48,0.4833333333333333,0.1942857142857143,0.14666666666666667,0.3,0.6666666666666666,0.5921621739864349,8.393516445159912,1.8746089935302732,29.6,32258.0,5.0,run_20260620_073443
within_site,AAL,v1,Pitt,0.76,0.6222222222222222,0.63,0.5232323232323232,0.5333333333333333,0.52,0.74,0.5869627118110656,15.597889280319214,2.326663335164388,29.2,32258.0,9.0,run_20260620_073443
within_site,AAL,v1,SBL,0.7888888888888891,0.6533333333333333,0.6833333333333333,0.5333333333333333,0.6,0.5666666666666667,0.8,0.5544722080230713,7.514415788650512,2.175089518229167,25.4,32258.0,5.2,run_20260620_073443
within_site,AAL,v1,SDSU,0.5083333333333333,0.5238095238095237,0.5233333333333333,0.5371428571428571,0.7,0.48,0.5666666666666667,0.5772416949272156,10.03256368637085,2.1359409604753763,26.2,32258.0,6.6,run_20260620_073443
within_site,AAL,v1,Stanford,0.65,0.5464285714285715,0.525,0.4738095238095239,0.4566666666666666,0.5,0.55,0.5864685773849487,10.767778587341306,2.144124678203038,25.2,32258.0,7.2,run_20260620_073443
within_site,AAL,v1,Trinity,0.8025,0.6361111111111111,0.64,0.4565656565656566,0.4642857142857143,0.48,0.8,0.6532065808773041,17.58307433128357,2.1909601158565946,34.2,32258.0,8.8,run_20260620_073443
within_site,AAL,v1,UCLA,0.7714285714285716,0.5866666666666667,0.5982142857142857,0.3545098039215687,0.7333333333333333,0.28214285714285714,0.9142857142857144,0.7743499994277954,34.1111804485321,3.0802122751871748,36.4,32258.0,15.0,run_20260620_073443
