mode,atlas,fc_version,fold_or_site,auc,accuracy,balanced_accuracy,f1,precision,recall,specificity,threshold,train_time_sec,infer_ms_per_sample,epochs_run,n_params,n_eval
pooled_cv,Schaefer400,v1,1,0.7188703465982028,0.6384180790960452,0.6406290115532735,0.6444444444444445,0.6823529411764706,0.6105263157894737,0.6707317073170732,0.41330063343048096,1155.3712277412415,13.828404205667097,24,68610,177
pooled_cv,Schaefer400,v1,2,0.7288831835686777,0.6836158192090396,0.6827342747111682,0.7021276595744681,0.7096774193548387,0.6947368421052632,0.6707317073170732,0.4978683888912201,1108.0191388130188,14.492025483126021,23,68610,177
pooled_cv,Schaefer400,v1,3,0.748395378690629,0.6949152542372882,0.6991014120667522,0.6931818181818182,0.7530864197530864,0.6421052631578947,0.7560975609756098,0.5003751516342163,1868.0649445056915,14.176256912576276,39,68610,177
pooled_cv,Schaefer400,v1,4,0.6943158436213992,0.655367231638418,0.6591435185185186,0.659217877094972,0.7108433734939759,0.6145833333333334,0.7037037037037037,0.6170963644981384,1249.5507278442383,13.568109038185938,26,68610,177
pooled_cv,Schaefer400,v1,5,0.7367121507472385,0.6931818181818182,0.6830409356725147,0.7403846153846154,0.6814159292035398,0.8105263157894737,0.5555555555555556,0.4337341785430908,1104.4007790088654,14.311061664061112,23,68610,176
loso,Schaefer400,v1,CMU,0.5,0.4,0.41666666666666663,0.4,0.3333333333333333,0.5,0.3333333333333333,0.520150899887085,1088.498961687088,11.708736419677734,21,68610,5
loso,Schaefer400,v1,Caltech,0.8187134502923976,0.6756756756756757,0.6739766081871346,0.6470588235294118,0.6875,0.6111111111111112,0.7368421052631579,0.5640480518341064,1884.3527834415436,15.114249409856024,36,68610,37
loso,Schaefer400,v1,KKI,0.712962962962963,0.5128205128205128,0.625,0.48648648648648646,0.9,0.3333333333333333,0.9166666666666666,0.3641509711742401,1191.0235373973846,13.091093454605494,23,68610,39
loso,Schaefer400,v1,Leuven,0.812636165577342,0.7377049180327869,0.7189542483660131,0.7894736842105262,0.7142857142857143,0.8823529411764706,0.5555555555555556,0.6772551536560059,2133.151542901993,14.088298453659307,42,68610,61
loso,Schaefer400,v1,MaxMun,0.6597222222222222,0.6428571428571429,0.6597222222222222,0.6341463414634146,0.7647058823529411,0.5416666666666666,0.7777777777777778,0.546240508556366,3262.632476091385,14.668890408107213,63,68610,42
loso,Schaefer400,v1,NYU,0.7180598266703943,0.631578947368421,0.6436259435280962,0.6358381502890174,0.7333333333333333,0.5612244897959183,0.726027397260274,0.562906801700592,1121.3579409122467,15.337352864226403,23,68610,171
loso,Schaefer400,v1,OHSU,0.8181818181818182,0.8260869565217391,0.821969696969697,0.7999999999999999,0.8888888888888888,0.7272727272727273,0.9166666666666666,0.9497401118278503,3626.1098160743713,15.673969102942426,69,68610,23
loso,Schaefer400,v1,Olin,0.8246753246753247,0.6,0.6136363636363636,0.6153846153846153,0.5333333333333333,0.7272727272727273,0.5,0.6077989935874939,1098.3272740840912,14.295635223388672,21,68610,25
loso,Schaefer400,v1,Pitt,0.8300395256916996,0.7333333333333333,0.7322134387351779,0.7499999999999999,0.72,0.782608695652174,0.6818181818181818,0.9203382730484009,3645.162944793701,13.980770111083984,72,68610,45
loso,Schaefer400,v1,SBL,0.7142857142857143,0.5769230769230769,0.6011904761904762,0.6666666666666667,0.5238095238095238,0.9166666666666666,0.2857142857142857,0.47825121879577637,1227.200481414795,13.229122528663048,24,68610,26
loso,Schaefer400,v1,SDSU,0.7380952380952381,0.6363636363636364,0.5714285714285714,0.7391304347826089,0.68,0.8095238095238095,0.3333333333333333,0.22978439927101135,1273.1815469264984,13.73733173717152,25,68610,33
loso,Schaefer400,v1,Stanford,0.736842105263158,0.5833333333333334,0.5990712074303406,0.44444444444444436,0.75,0.3157894736842105,0.8823529411764706,0.3691153824329376,1118.5857651233673,13.470232486724854,22,68610,36
loso,Schaefer400,v1,Trinity,0.7660455486542442,0.6136363636363636,0.6242236024844721,0.5142857142857143,0.75,0.391304347826087,0.8571428571428571,0.8409525752067566,1263.7562634944916,13.145603916861795,25,68610,44
loso,Schaefer400,v1,UCLA,0.8294159544159544,0.76,0.7638888888888888,0.7428571428571428,0.8387096774193549,0.6666666666666666,0.8611111111111112,0.9699260592460632,2280.6918692588806,13.665281931559244,46,68610,75
loso,Schaefer400,v1,UM,0.7506410256410256,0.7168141592920354,0.7048076923076922,0.7611940298507462,0.7391304347826086,0.7846153846153846,0.625,0.725161612033844,1330.3981320858002,14.612986978176421,27,68610,113
loso,Schaefer400,v1,USM,0.7734553775743707,0.7049180327868853,0.7030892448512586,0.6399999999999999,0.5925925925925926,0.6956521739130435,0.7105263157894737,0.7739365696907043,2212.656678915024,15.036653299800685,44,68610,61
loso,Schaefer400,v1,Yale,0.7797202797202797,0.75,0.7412587412587412,0.7857142857142856,0.7333333333333333,0.8461538461538461,0.6363636363636364,0.23523354530334473,1854.311069726944,13.49124809106191,36,68610,48
within_site,Schaefer400,v1,Caltech,0.6291666666666667,0.6214285714285714,0.6166666666666666,0.42666666666666664,0.6,0.3333333333333333,0.9,0.6544893264770508,53.22174563407898,13.485633475439888,26.0,68610.0,7.4
within_site,Schaefer400,v1,KKI,0.64,0.45714285714285713,0.5566666666666666,0.3871794871794872,0.4583333333333333,0.38,0.7333333333333333,0.6911107063293457,59.3419008731842,12.386865275246757,29.2,68610.0,7.8
