mode,atlas,fc_version,fold_or_site,auc,accuracy,balanced_accuracy,f1,precision,recall,specificity,threshold,train_time_sec,infer_ms_per_sample,epochs_run,n_params,n_eval
pooled_cv,Schaefer200,v2,1,0.6979460847240051,0.615819209039548,0.6170731707317073,0.6263736263736264,0.6551724137931034,0.6,0.6341463414634146,0.16139478981494904,1011.8609993457794,12.01359296249131,29,43010,177
pooled_cv,Schaefer200,v2,2,0.7041078305519898,0.632768361581921,0.6270218228498075,0.6733668341708543,0.6442307692307693,0.7052631578947368,0.5487804878048781,0.6893635392189026,1116.1675074100494,11.6137717403261,32,43010,177
pooled_cv,Schaefer200,v2,3,0.7029525032092426,0.6384180790960452,0.6431322207958922,0.632183908045977,0.6962025316455697,0.5789473684210527,0.7073170731707317,0.5876007080078125,765.8849968910217,12.209175670214291,22,43010,177
pooled_cv,Schaefer200,v2,4,0.7022890946502057,0.6836158192090396,0.6871141975308642,0.6888888888888889,0.7380952380952381,0.6458333333333334,0.7283950617283951,0.43739020824432373,767.9240124225616,11.346369813391044,22,43010,177
pooled_cv,Schaefer200,v2,5,0.71591942820013,0.6704545454545454,0.6701754385964912,0.6881720430107526,0.7032967032967034,0.6736842105263158,0.6666666666666666,0.4983948767185211,875.8578262329102,11.715676296841014,25,43010,176
